# Generated by QuTiP: 27x27 complex matrix in exp format [',' separated values].
2.0555979652e-01-8.0989961385e-15j,2.8439165307e-01-1.2080142455e-01j,-4.7509746714e-03-3.8235923133e-03j,-1.5609007825e-01+1.3380228029e-01j,-7.5468308342e-03-1.5515655629e-01j,-7.2742763044e-03+1.1623993678e-04j,8.7441419320e-05+2.8494570120e-04j,1.8930181445e-04-8.2933807650e-05j,-1.3570944198e-06-2.4144345562e-05j,-5.2435961639e-03-3.7538294012e-03j,-1.8778880858e-03+4.0726122773e-03j,-5.2998886548e-04+1.6515812530e-04j,-1.3476236894e-03-3.2009715225e-04j,-3.3856456185e-03-2.3627754837e-03j,5.6486360101e-05-4.6545355369e-04j,5.6449336376e-04-4.8098881286e-04j,2.5379147177e-05+5.6586938297e-04j,2.5439362623e-05-3.5435805652e-07j,5.3707505186e-05-4.6834779239e-05j,8.6091714464e-05+7.1278807758e-05j,6.5579022254e-06+2.6412594708e-06j,9.2464560588e-05+3.3169084375e-05j,1.1582246983e-05+1.4324036221e-05j,1.5922092912e-05+1.4221933467e-05j,5.4985556429e-06+1.2143056971e-06j,1.5512011649e-05+1.3080215052e-05j,8.6972478232e-07+8.3292036007e-06j
2.8439165307e-01+1.2080142455e-01j,4.6998024311e-01+1.2081357453e-15j,-4.5183207249e-03-8.2155784243e-03j,-2.9820262264e-01+9.3677290738e-02j,8.1882541755e-02-2.1898640703e-01j,-1.0180520347e-02-4.0097005046e-03j,-5.4353367829e-05+4.4934046880e-04j,3.0110729597e-04-1.7154719383e-05j,5.5956679283e-06-3.0699314008e-05j,-4.9812063001e-03-8.3493316799e-03j,-4.2641637652e-03+4.6426923355e-03j,-7.7105733408e-04-2.6921231426e-04j,-1.5563977516e-03-1.0648779533e-03j,-4.1393211255e-03-4.9725957913e-03j,-9.8307860955e-06-4.1613448620e-04j,1.0783046712e-03-3.3487250784e-04j,-2.9931908968e-04+7.9624039803e-04j,3.5593716741e-05+1.3999881261e-05j,8.7531631624e-05-3.2159076352e-05j,8.5679711981e-05+1.5044614457e-04j,1.5361423348e-05+7.4066405109e-07j,1.2557236750e-04+1.0637649683e-04j,2.6551357598e-05+7.5286598571e-06j,2.0241674811e-05+2.4064308252e-05j,5.9254603119e-06+4.5196611724e-06j,1.8257389279e-05+2.5632143441e-05j,4.5479333035e-08+1.3013085063e-06j
-4.7509746714e-03+3.8235923133e-03j,-4.5183207249e-03+8.2155784243e-03j,1.9162141151e-04-1.4715547843e-16j,1.2706504986e-03-6.2242670433e-03j,2.9910214899e-03+3.4652272289e-03j,1.6341437375e-04-1.4397826376e-04j,-7.9093903416e-06-5.1342988590e-06j,-3.1253062688e-06+5.5571422295e-06j,7.5529199129e-07+1.5011448866e-07j,1.9539280504e-04-1.0466945688e-05j,-5.5907689304e-05-1.1416087612e-04j,4.5485976577e-07-1.1685860560e-05j,3.3820489243e-05-1.4408442490e-05j,1.3754953303e-04-3.7011904268e-05j,2.4120117187e-05-1.1896497321e-05j,-4.5889326256e-06+2.2650582150e-05j,-1.0950732909e-05-1.2665111026e-05j,-4.6680475797e-07+3.5244060137e-07j,-2.4346806886e-07+1.0883957180e-06j,-2.9759491935e-06+3.5485874369e-07j,-6.3062061641e-07+6.3190069437e-07j,-2.8270767242e-06+1.4196833407e-06j,-1.0663017335e-06+1.1759741645e-06j,-7.6321400370e-07+3.6045957730e-07j,-1.3645869432e-07+5.7761151303e-08j,-6.8768000354e-07+1.4186181187e-07j,-1.4678074559e-07+2.1263835488e-08j
-1.5609007825e-01-1.3380228029e-01j,-2.9820262264e-01-9.3677290738e-02j,1.2706504986e-03+6.2242670433e-03j,2.0597375406e-01+8.9199339324e-15j,-9.3831183533e-02+1.2085581827e-01j,5.7211052593e-03+4.4012002204e-03j,1.2262315922e-04-2.6861165079e-04j,-1.9494183978e-04-3.5724844464e-05j,-1.0710548418e-05+2.7008645281e-05j,1.7054398245e-03+6.3912310660e-03j,3.4325992564e-03-2.5205725692e-03j,6.7576341726e-04+4.7679868764e-04j,5.7028532534e-04+1.0425232582e-03j,2.1841128935e-03+4.2044279850e-03j,-1.3309329118e-04+7.3703836050e-04j,-7.4502674896e-04-2.3981238725e-06j,3.4259681193e-04-4.4194365461e-04j,-1.9763536624e-05-1.5344378385e-05j,-4.0154867097e-05+1.6761792473e-05j,-5.7745249912e-05-1.2368547029e-04j,-4.0348526548e-06-1.1812522831e-05j,-7.8423887265e-05-8.7567531465e-05j,-7.8567909550e-06-2.2988243297e-05j,-8.4408433278e-06-2.3740536681e-05j,-2.3611995937e-06-4.2636104346e-06j,-9.0601293896e-06-2.0750199035e-05j,-9.8443120764e-07-7.5239882067e-06j
-7.5468308342e-03+1.5515655629e-01j,8.1882541755e-02+2.1898640703e-01j,2.9910214899e-03-3.4652272289e-03j,-9.3831183533e-02-1.2085581827e-01j,1.1760495991e-01-1.6446307918e-15j,1.2586111079e-04-5.5085775096e-03j,-2.2236596729e-04+5.2466564137e-05j,5.8720944938e-05+1.4473222667e-04j,2.2952987387e-05-5.2177659903e-07j,3.1393743317e-03-3.7751071626e-03j,-3.1384653002e-03-1.5364372781e-03j,3.1405637335e-05-6.9725819214e-04j,8.5718708812e-05-1.0745098661e-03j,1.7912551830e-03-2.5262702698e-03j,6.0025103299e-04+3.6869324380e-05j,3.3720856349e-04+4.3767289158e-04j,-4.2990793390e-04-1.4110839338e-06j,-4.0027688155e-07+1.9069653790e-05j,5.5310440874e-05+3.5310009039e-05j,-5.2374600455e-05+7.3634639703e-05j,-6.1784278592e-06+2.6611134179e-06j,-3.1934697265e-05+7.2167491251e-05j,-1.8065202090e-05+8.0709634784e-06j,-1.2992213701e-05+1.0593779328e-05j,-3.2927973496e-07+4.5080510385e-06j,-9.5147824561e-06+1.1388028007e-05j,2.6352158728e-06-1.8068783819e-06j
-7.2742763044e-03-1.1623993678e-04j,-1.0180520347e-02+4.0097005046e-03j,1.6341437375e-04+1.4397826376e-04j,5.7211052593e-03-4.4012002204e-03j,1.2586111079e-04+5.5085775096e-03j,2.5515883870e-04-2.4399594379e-16j,-2.5676774893e-06-1.0292862941e-05j,-5.7813783942e-06+2.4653777574e-06j,4.8862069867e-07+9.0284070769e-07j,1.8114728751e-04+1.3630653672e-04j,4.5405180674e-05-1.5098009132e-04j,1.5591146039e-05-1.5612527687e-05j,3.8836836893e-05+5.6326412400e-06j,1.4076100243e-04+8.2377805061e-05j,2.4501500778e-05+1.5979464256e-05j,-2.0805650091e-05+1.5786981868e-05j,-6.9483083710e-07-2.0107883793e-05j,-1.1394948615e-06+9.0665484420e-08j,-8.5415876348e-07+1.2054100422e-06j,-2.9203568945e-06-1.9626983764e-06j,-8.7801886171e-07-1.4431979379e-07j,-3.6710714450e-06-1.1478023148e-06j,-1.6786308546e-06-2.9982334302e-07j,-8.8543743180e-07-3.8344407885e-07j,-1.2629526829e-07-3.2035089447e-08j,-6.4990491705e-07-4.6161790363e-07j,-5.8383241078e-08-1.0743037108e-07j
8.7441419321e-05-2.8494570120e-04j,-5.4353367829e-05-4.4934046880e-04j,-7.9093903416e-06+5.1342988589e-06j,1.2262315922e-04+2.6861165079e-04j,-2.2236596729e-04-5.2466564138e-05j,-2.5676774893e-06+1.0292862941e-05j,-1.5707315682e-07-3.4004989726e-17j,3.0713247346e-07-5.5796761816e-08j,-1.0316643583e-07-5.5411317678e-08j,-7.5973090313e-06+5.7475117898e-06j,5.1270475451e-06+4.2196884113e-06j,-2.7251132904e-07+1.4511992464e-06j,-6.3743677677e-07+1.8320444352e-06j,-4.4419853758e-06+3.8811717840e-06j,-1.1613337401e-06-4.1667634965e-07j,-4.4816954416e-07-9.1125710579e-07j,8.8203144662e-07+1.2235430459e-07j,7.0277587617e-08-1.2974582284e-07j,-8.3407147998e-08-8.2931501706e-08j,1.2406754142e-07-1.1874709640e-07j,1.3163897416e-08+2.6689409199e-09j,8.9318841040e-08-1.2733771151e-07j,4.1406070514e-08-2.3998717533e-09j,2.2435891102e-08-1.2892575446e-08j,5.1467519652e-11+7.3453440482e-10j,2.1980278912e-08-1.5303731425e-08j,-5.6564303998e-09+3.0820200970e-08j
1.8930181445e-04+8.2933807650e-05j,3.0110729597e-04+1.7154719383e-05j,-3.1253062688e-06-5.5571422295e-06j,-1.9494183978e-04+3.5724844464e-05j,5.8720944938e-05-1.4473222667e-04j,-5.7813783942e-06-2.4653777574e-06j,3.0713247348e-07+5.5796761844e-08j,8.0133213285e-07+9.4278738427e-18j,-9.3676605816e-08-1.2967950830e-07j,-2.8102858367e-06-5.4261531425e-06j,-2.9295331993e-06+3.0830166990e-06j,-5.5323699654e-07+1.9141334828e-07j,-8.8708596697e-07-6.1522809372e-07j,-2.5550721368e-06-3.5184379746e-06j,-1.4460387533e-07-5.0958218492e-07j,5.8577261673e-07-1.9566023296e-07j,-2.4451663250e-07+4.9971746028e-07j,-1.3483237226e-07+7.5279160087e-09j,4.8884505255e-08-1.4992787457e-08j,5.3159044076e-08+8.6203010771e-08j,1.5018198400e-08+1.6860913977e-08j,8.0460786116e-08+6.6442432768e-08j,2.7703808237e-08+1.5990750994e-08j,2.4701961917e-08+1.8678603150e-08j,9.3443308848e-09-6.4379343682e-09j,1.7699689508e-08+1.9413236032e-08j,3.4770590568e-09+2.7846637016e-08j
-1.3570944197e-06+2.4144345562e-05j,5.5956679283e-06+3.0699314008e-05j,7.5529199130e-07-1.5011448866e-07j,-1.0710548418e-05-2.7008645281e-05j,2.2952987387e-05+5.2177659902e-07j,4.8862069867e-07-9.0284070770e-07j,-1.0316643583e-07+5.5411317679e-08j,-9.3676605816e-08+1.2967950830e-07j,-1.6444175198e-10-2.0009070757e-20j,8.6801355337e-07-2.2517113160e-07j,-5.5165788662e-07-4.0898439243e-07j,-7.4307202238e-08+2.9359647066e-09j,9.0787664660e-09+2.1352433654e-08j,6.5072501733e-07-3.0186249777e-07j,1.8884045953e-07+3.5002763017e-09j,3.9763240273e-08+9.6270574165e-08j,-8.3893870964e-08-2.2702926828e-09j,-7.5922762501e-10+2.5319004910e-09j,6.0589709294e-09+5.3117067212e-09j,-1.3258519386e-08+5.5530348216e-09j,-3.7255215082e-09+3.2042274272e-09j,-9.7412249443e-09+1.1296392876e-08j,-6.1793948551e-09+5.5367577912e-09j,-3.5904407396e-09+2.5881328376e-09j,1.4360992815e-10-4.7673625870e-10j,-3.2376434196e-09+1.5355428509e-09j,-6.4711757301e-10-1.9930880244e-11j
-5.2435961639e-03+3.7538294012e-03j,-4.9812063001e-03+8.3493316799e-03j,1.9539280504e-04+1.0466945688e-05j,1.7054398245e-03-6.3912310660e-03j,3.1393743317e-03+3.7751071626e-03j,1.8114728751e-04-1.3630653672e-04j,-7.5973090313e-06-5.7475117898e-06j,-2.8102858367e-06+5.4261531425e-06j,8.6801355337e-07+2.2517113160e-07j,2.0192156129e-04+9.8528765093e-18j,-4.4746215253e-05-1.2263113789e-04j,3.1630663903e-06-1.3609713250e-05j,4.0056457284e-05-1.3428644729e-05j,1.3349166164e-04-2.9492362771e-05j,2.7049946739e-05-6.6353365303e-06j,-6.2126994558e-06+2.3080281185e-05j,-1.1506854657e-05-1.3689353473e-05j,-6.3703640824e-07+4.7851399295e-07j,-4.3825221225e-07+1.3630081854e-06j,-2.8238670247e-06+5.5681510516e-07j,-7.8010134359e-07+4.9967763039e-07j,-2.5006987773e-06+1.2750612251e-06j,-1.2689752755e-06+8.2481495250e-07j,-8.0792450679e-07+3.0113454207e-07j,-1.3840149160e-07+4.7096789866e-08j,-6.5858286001e-07+8.7951569752e-08j,-1.1308448966e-07+1.0441027604e-07j
-1.8778880858e-03-4.0726122773e-03j,-4.2641637652e-03-4.6426923355e-03j,-5.5907689304e-05+1.1416087612e-04j,3.4325992564e-03+2.5205725692e-03j,-3.1384653002e-03+1.5364372781e-03j,4.5405180674e-05+1.5098009132e-04j,5.1270475451e-06-4.2196884113e-06j,-2.9295331993e-06-3.0830166990e-06j,-5.5165788662e-07+4.0898439243e-07j,-4.4746215253e-05+1.2263113789e-04j,1.0009636631e-04-1.6808108007e-18j,6.1482135137e-06+8.9680579150e-06j,5.8629588697e-06+2.1413280653e-05j,-2.1324630287e-05+9.0665276830e-05j,-1.3228306122e-05+1.2021024449e-05j,-1.2371650580e-05-9.1550987200e-06j,1.1469951336e-05-5.6073952019e-06j,-1.6190575692e-07-5.1765812906e-07j,-1.4494742189e-06-3.2605097393e-07j,5.6508266002e-07-2.1816260161e-06j,2.3389566004e-08-4.2660390285e-07j,-8.5744665327e-08-2.0707944545e-06j,1.3154832436e-07-7.8662535388e-07j,1.2801887476e-07-5.0290263639e-07j,-1.9508089878e-08-6.2115772984e-08j,1.2607918203e-07-4.4305436083e-07j,-2.0558019362e-08-5.0805978376e-08j
